City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
477,Makaha,US,87.71,clear sky,21.4694,-158.2175,Hawaiian Princess Resort
478,Manaure,CO,81.61,clear sky,11.7751,-72.4445,Hotel Palaaima
480,Palu,ID,81.36,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
481,Tual,ID,79.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
483,Podor,MR,82.4,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
484,Harindanga,IN,85.24,overcast clouds,22.0383,88.3214,Hasanur Builders
486,Kijang,KR,83.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
488,Gulbarga,IN,77.38,overcast clouds,17.3333,76.8333,OYO 37176 N K Comforts
489,Tabou,CI,75.02,overcast clouds,4.423,-7.3528,hotêl doufoulougou
493,Cienfuegos,CU,79.68,broken clouds,22.1461,-80.4356,Casa Claumar B2BPay
494,Japura,ID,77.7,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
496,Half Moon Bay,US,77.05,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
498,Fukuma,JP,89.15,overcast clouds,33.7667,130.4667,Masago
499,Kirakira,SB,85.05,clear sky,-10.4544,161.9205,SanBiz Lodge
502,Camocim,BR,77.45,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
508,Boyolangu,ID,76.19,overcast clouds,-8.1181,111.8935,Yos ega cv
510,Gat,IL,78.4,broken clouds,31.61,34.7642,OlusHome
512,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
515,Eyl,SO,75.2,overcast clouds,7.9803,49.8164,Amiin Hotel
516,Galle,LK,78.21,broken clouds,6.0367,80.217,Amangalla
518,Nabire,ID,83.88,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
521,Sinnamary,GF,78.06,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
522,Cukai,MY,80.22,light rain,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
525,Varzea Alegre,BR,75.09,few clouds,-5.35,-40.3833,Rancho Aconchego
526,Shirokiy,RU,76.66,few clouds,49.758,129.523,
527,La Gomera,GT,78.67,overcast clouds,14.0833,-91.05,Cede.E.T.V
536,Virginia Beach,US,81.01,scattered clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
537,Sweetwater,US,85.01,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
538,Kimbe,PG,89.42,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
539,Beruwala,LK,78.06,overcast clouds,6.4788,79.9828,The Palms Hotel
543,Veraval,IN,81.36,overcast clouds,20.9,70.3667,Lords Inn Somnath
544,Ust-Maya,RU,76.35,overcast clouds,60.4167,134.5333,
545,Srikakulam,IN,81.37,overcast clouds,18.3,83.9,Micro Systems
550,Kon Tum,VN,75.72,overcast clouds,14.35,108.0,Hoa đà spa- homestay
558,Auki,SB,86.65,scattered clouds,-8.7676,160.7034,Auki Motel
560,Edremit,TR,76.75,clear sky,39.5961,27.0244,Adramis Thermal Hotel
561,Tumen,CN,75.22,overcast clouds,42.9661,129.8425,Friendship Hotel
562,Soc Trang,VN,82.42,overcast clouds,9.6033,105.98,Phu Quy Hotel
564,Mahendranagar,NP,78.87,overcast clouds,28.9167,80.3333,Agan Cottage
565,Bansi,IN,82.38,overcast clouds,27.1833,82.9333,सबलू गाडी धुलाई सेंटर
567,Jiuquan,CN,81.75,broken clouds,39.7432,98.5174,Jiuquan Hotel
569,Narbonne,FR,79.03,clear sky,43.0833,2.8333,Domaine du Soleil Couchant - Bed & Breakfast in
576,Abnub,EG,82.67,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
579,Cortez,US,75.96,broken clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
